"","subj_idx","dangerous","weapon","rt","response","condition","stimulus"
"586",7,1,0,0.538,1,"dangerous","phone"
"587",7,0,0,0.474,1,"harmless","phone"
"588",7,1,1,0.462,0,"dangerous","gun"
"589",7,1,0,0.624,1,"dangerous","phone"
"590",7,1,0,0.621,1,"dangerous","phone"
"591",7,0,0,0.588,1,"harmless","phone"
"592",7,1,0,0.487,1,"dangerous","phone"
"593",7,0,0,0.51,1,"harmless","phone"
"594",7,1,1,0.399,0,"dangerous","gun"
"595",7,1,0,0.542,1,"dangerous","phone"
"596",7,1,1,0.637,0,"dangerous","gun"
"597",7,0,1,0.486,0,"harmless","gun"
"598",7,1,1,0.518,0,"dangerous","gun"
"599",7,0,1,0.507,0,"harmless","gun"
"600",7,1,0,0.665,1,"dangerous","phone"
"601",7,1,0,0.549,1,"dangerous","phone"
"602",7,1,1,0.527,0,"dangerous","gun"
"603",7,0,0,0.572,1,"harmless","phone"
"604",7,1,0,0.362,1,"dangerous","phone"
"605",7,0,1,0.527,0,"harmless","gun"
"606",7,1,0,0.527,1,"dangerous","phone"
"607",7,0,0,0.689,1,"harmless","phone"
"608",7,1,1,0.541,0,"dangerous","gun"
"609",7,1,1,0.551,0,"dangerous","gun"
"610",7,0,0,0.612,1,"harmless","phone"
"611",7,1,1,0.61,0,"dangerous","gun"
"612",7,0,1,0.559,0,"harmless","gun"
"613",7,1,0,0.622,1,"dangerous","phone"
"614",7,0,0,0.78,1,"harmless","phone"
"615",7,1,0,0.706,1,"dangerous","phone"
"616",7,1,0,0.476,1,"dangerous","phone"
"617",7,0,1,0.653,0,"harmless","gun"
"618",7,1,1,0.615,0,"dangerous","gun"
"619",7,0,0,0.58,1,"harmless","phone"
"620",7,1,0,0.594,1,"dangerous","phone"
"621",7,0,1,0.514,0,"harmless","gun"
"622",7,0,0,0.728,1,"harmless","phone"
"623",7,0,0,0.62,1,"harmless","phone"
"624",7,0,1,0.709,0,"harmless","gun"
"625",7,1,1,0.478,0,"dangerous","gun"
"626",7,0,0,0.607,1,"harmless","phone"
"627",7,1,0,0.651,1,"dangerous","phone"
"628",7,1,0,0.568,1,"dangerous","phone"
"629",7,0,0,0.554,1,"harmless","phone"
"630",7,1,1,0.509,0,"dangerous","gun"
"631",7,1,1,0.525,0,"dangerous","gun"
"632",7,1,1,0.492,0,"dangerous","gun"
"633",7,0,1,0.493,0,"harmless","gun"
"634",7,1,0,0.555,1,"dangerous","phone"
"635",7,1,1,0.523,0,"dangerous","gun"
"636",7,0,0,0.586,1,"harmless","phone"
"637",7,0,0,0.472,1,"harmless","phone"
"638",7,0,1,0.443,0,"harmless","gun"
"639",7,1,0,0.559,1,"dangerous","phone"
"640",7,0,1,0.414,0,"harmless","gun"
"641",7,0,1,0.452,0,"harmless","gun"
"642",7,0,1,0.584,0,"harmless","gun"
"643",7,0,1,0.551,0,"harmless","gun"
"644",7,0,0,0.564,1,"harmless","phone"
"645",7,1,1,0.466,0,"dangerous","gun"
"646",7,0,0,0.55,1,"harmless","phone"
