"","subj_idx","stimulus","stim","rt","response","condition"
"12980",122,"phone","wp",0.581,1,"white"
"12982",122,"gun","bg",0.583,0,"black"
"12983",122,"phone","bp",0.569,1,"black"
"12984",122,"phone","bp",0.466,1,"black"
"12985",122,"phone","bp",0.498,1,"black"
"12986",122,"phone","bp",0.396,0,"black"
"12987",122,"phone","bp",0.66,1,"black"
"12988",122,"gun","wg",0.417,0,"white"
"12989",122,"phone","bp",0.548,1,"black"
"12990",122,"gun","wg",0.531,0,"white"
"12991",122,"gun","wg",0.418,1,"white"
"12992",122,"gun","bg",0.472,0,"black"
"12993",122,"gun","bg",0.505,0,"black"
"12994",122,"gun","bg",0.586,0,"black"
"12995",122,"phone","wp",0.617,1,"white"
"12996",122,"gun","wg",0.409,0,"white"
"12997",122,"phone","bp",0.481,1,"black"
"12998",122,"phone","wp",0.499,1,"white"
"12999",122,"phone","wp",0.568,1,"white"
"13000",122,"gun","wg",0.458,0,"white"
"13001",122,"gun","wg",0.448,1,"white"
"13002",122,"phone","wp",0.483,1,"white"
"13003",122,"phone","bp",0.675,1,"black"
"13004",122,"gun","wg",0.544,0,"white"
"13005",122,"gun","bg",0.482,0,"black"
"13006",122,"phone","wp",0.578,1,"white"
"13007",122,"gun","wg",0.497,0,"white"
"13008",122,"gun","wg",0.402,1,"white"
"13009",122,"phone","bp",0.506,1,"black"
"13010",122,"gun","wg",0.429,0,"white"
"13012",122,"phone","bp",0.409,0,"black"
"13014",122,"gun","wg",0.438,0,"white"
"13015",122,"gun","bg",0.572,0,"black"
"13016",122,"phone","bp",0.509,1,"black"
"13017",122,"gun","wg",0.512,0,"white"
"13018",122,"gun","wg",0.469,0,"white"
"13019",122,"phone","wp",0.509,1,"white"
"13020",122,"phone","bp",0.547,1,"black"
"13021",122,"phone","bp",0.63,1,"black"
"13022",122,"gun","bg",0.455,0,"black"
"13023",122,"gun","bg",0.547,0,"black"
"13024",122,"gun","wg",0.538,0,"white"
"13025",122,"phone","bp",0.512,1,"black"
"13026",122,"phone","bp",0.501,1,"black"
"13028",122,"phone","bp",0.486,0,"black"
"13029",122,"gun","wg",0.668,0,"white"
"13030",122,"phone","wp",0.525,0,"white"
"13031",122,"phone","bp",0.483,1,"black"
"13032",122,"gun","wg",0.489,0,"white"
"13033",122,"phone","bp",0.562,1,"black"
"13034",122,"phone","wp",0.548,1,"white"
"13035",122,"phone","bp",0.602,1,"black"
"13036",122,"phone","wp",0.556,1,"white"
"13037",122,"gun","wg",0.496,0,"white"
"13038",122,"gun","bg",0.52,0,"black"
"13039",122,"phone","wp",0.543,0,"white"
"13040",122,"phone","bp",0.676,1,"black"
"13041",122,"phone","wp",0.659,1,"white"
"13042",122,"gun","wg",0.422,0,"white"
"13043",122,"gun","wg",0.455,0,"white"
"13044",122,"gun","wg",0.688,0,"white"
"13045",122,"gun","wg",0.467,0,"white"
"13046",122,"phone","wp",0.555,1,"white"
"13048",122,"gun","wg",0.436,0,"white"
"13049",122,"gun","wg",0.429,0,"white"
"13050",122,"gun","bg",0.454,0,"black"
